,success_rate,makespan,time_cost,waiting_time,travel_dist,efficiency
0,1.0,54.444709807123935,26.19531224697148,4.72711745076599,92.23262084901707,1.8908469803063956
1,1.0,49.070427725800386,24.493857025656617,3.660343030313398,89.78258952793122,1.4641372121253595
2,1.0,53.72270481977846,25.637354443599136,3.736645008764969,97.51008024592647,1.4946580035059875
3,1.0,45.47537729124219,20.959287980125463,2.770895501711209,86.84795543132975,1.1083582006844834
4,1.0,47.689853936888234,23.788636876325963,2.61719718085785,82.95953433341087,1.0468788723431401
5,1.0,42.79366336315928,23.330862730410075,2.3183449012631856,86.69220101069877,0.9273379605052742
6,1.0,46.76977225065625,21.46509659523867,3.097122841811018,77.43213744804679,1.238849136724407
7,1.0,47.87044439659917,25.60686744430102,3.048067538647545,88.02834213284991,1.219227015459018
8,1.0,53.48491060240109,24.35920842783404,3.3228256012017,90.61768160367342,1.3291302404806797
9,1.0,53.21032338410073,23.983611296613045,2.9347749646185775,94.42025155094622,1.1739099858474311
10,1.0,44.73479492549078,21.13639477813022,2.5361956824156446,77.07854780396964,1.014478272966258
11,1.0,53.876647298070935,23.390456697967988,4.19722612343781,95.09645643451526,1.6788904493751238
12,1.0,45.99452987984949,21.37766697839567,2.716590695478948,96.91875921192907,1.0866362781915793
13,1.0,47.47680876874472,22.98267226487052,3.4634507693410037,89.2038005665784,1.3853803077364015
14,1.0,45.80870717120281,22.85993840696822,3.257674549962144,91.00867402357382,1.3030698199848576
15,1.0,45.72442051996829,21.940136143498442,2.7853682006070533,78.65081945690191,1.1141472802428214
16,1.0,46.45420977049609,22.207203516191402,3.749638657967357,82.49777766660144,1.499855463186943
17,1.0,46.781211413374756,23.828955807650072,3.0679817522116357,81.6518578559981,1.2271927008846544
18,1.0,48.418633843412934,21.559670471873154,3.2717978890445876,85.71897267096811,1.308719155617835
19,1.0,48.97489376640423,21.796926266212854,3.3590566939975433,87.85396033955652,1.3436226775990172
20,1.0,47.197261039170854,21.280484293832593,3.6594612418528647,79.89608735904703,1.4637844967411455
21,1.0,45.71835367394421,19.49090616003607,1.9542505188445738,80.2645522924186,0.7817002075378295
22,1.0,43.93739838936582,20.364570458360028,1.8503423666445749,86.0139474329608,0.7401369466578299
23,1.0,45.7209207855961,23.039496942296854,3.4533214352561914,88.64213772676504,1.3813285741024766
24,1.0,43.28107999442089,21.67568122663187,2.804719591442811,74.77658961212586,1.1218878365771243
25,1.0,51.16739847596699,22.130966956605807,3.530157224132554,92.91330805122416,1.4120628896530214
26,1.0,45.82634808290828,21.418616533284638,2.8621378702294455,78.0496760846157,1.1448551480917786
27,1.0,48.704339395584846,23.938151233040912,2.509307127907673,94.04343400090457,1.0037228511630691
28,1.0,52.017922183758024,25.751418742409978,4.561882368329518,92.0295147598827,1.8247529473318067
29,1.0,53.76773909593017,24.67739465358864,4.468421217237302,100.25100050203757,1.787368486894921
30,1.0,42.4723710233896,20.530018898783286,2.8006361760619987,79.61370434335159,1.1202544704247994
31,1.0,56.440840379991286,27.63843706956425,3.77079784794181,94.97795994981966,1.5083191391767239
32,1.0,41.72624956670493,19.430662671051056,2.4137045383047684,79.31902710165352,0.9654818153219074
33,1.0,48.58107315469867,23.70745943597982,4.316624524220708,77.60957650777299,1.7266498096882827
34,1.0,59.492718630878244,28.014377947754923,3.9879779133831006,106.08972586458435,1.59519116535324
35,1.0,48.440366538241356,22.456135769713264,3.3826135550393124,86.27243997264033,1.353045422015725
36,1.0,41.87759794740402,19.063154314491147,2.3212594641366735,71.41311403193953,0.9285037856546697
37,1.0,43.84318951639732,20.84527173018859,2.242867841614318,78.44933970540635,0.8971471366457271
38,1.0,52.03001669167661,25.379193347172773,4.272834637463424,96.41310331237663,1.7091338549853696
39,1.0,41.633159856895176,19.287698612315715,3.87002828446519,75.31282225897566,1.548011313786076
40,1.0,52.87369393599726,24.924704443924075,3.7431819986704236,91.37328390587425,1.4972727994681696
41,1.0,50.57712127012891,24.919531499768137,3.5323186609582597,89.44090959994568,1.412927464383304
42,1.0,44.7339709762377,23.22204362699912,2.583477581748048,90.91334849973289,1.0333910326992195
43,1.0,44.86138925538338,22.009293774561847,2.1519587345506084,83.01638713008121,0.8607834938202431
44,1.0,51.81879398257842,24.169834846148454,2.904847612980507,92.35762892789363,1.161939045192203
45,1.0,51.8009818905703,25.977639949940716,2.6604667962855304,90.81446301407041,1.064186718514212
46,1.0,46.591943315684134,22.84892013955065,2.900471459306591,94.31119835513294,1.1601885837226364
47,1.0,48.18733107003955,25.885150234287067,3.3567114989956957,87.21653259260782,1.3426845995982781
48,1.0,52.36746956651413,24.787921051858316,4.227857175047032,93.25457667450088,1.6911428700188127
49,1.0,50.56430646503793,24.406665511406,4.307040438964468,93.01826121985123,1.7228161755857871
